client,challenge,request_id,server_time_utc,send_to_visible_result_ms,permission_prompt_ms,approval_click_ms,approval_to_visible_result_ms
ChatGPT web,chatgpt-browser-check-002,db4b0d12-cc6e-41a3-a161-23d6896675a3,2026-09-18T04:16:38.749Z,8679,,,
ChatGPT web,chatgpt-browser-check-003,f7ec6c80-12d6-4eee-97f0-871e6fcad198,2026-09-18T04:19:51.902Z,8249,,,
ChatGPT web,chatgpt-browser-check-004,f20f8698-e90d-4654-847e-d5ead0e05901,2026-09-18T04:20:55.414Z,8830,,,
ChatGPT web,chatgpt-browser-check-006,9e926e6c-8ad0-489b-a362-370a20bf3ec9,2026-09-18T04:22:57.919Z,7725,,,
ChatGPT web,chatgpt-browser-check-007,8a981639-67f0-4287-bc61-132e9e104460,2026-09-18T04:23:11.361Z,10794,,,
ChatGPT web,chatgpt-browser-check-008,0a2aedd6-2a1f-4208-a0aa-62e18fe72792,2026-09-18T04:23:24.850Z,11441,,,
ChatGPT web,chatgpt-browser-check-009,a158dae5-d1f5-45f7-b3ff-300bbffcd056,2026-09-18T04:23:38.048Z,8507,,,
ChatGPT web,chatgpt-browser-check-010,5f66379c-63c6-41dd-a313-449bed2a0683,2026-09-18T04:23:49.505Z,10000,,,
ChatGPT web,chatgpt-browser-check-011,82ec88f1-4e92-48b6-88f9-c4218455dcc2,2026-09-18T04:24:02.291Z,8725,,,
ChatGPT web,chatgpt-browser-check-012,f6ee50d1-65a5-48d3-87ce-5bf9989cadaa,2026-09-18T04:24:14.905Z,9558,,,
ChatGPT web,chatgpt-browser-check-013,4a681335-33eb-4dc5-a395-5419fee35073,2026-09-18T04:24:27.349Z,9567,,,
ChatGPT web,chatgpt-browser-check-014,9c11c992-7264-4332-b3f1-352b76fe0409,2026-09-18T04:24:40.310Z,9540,,,
ChatGPT web,chatgpt-browser-check-015,7f229b1a-b468-47c4-843f-17567da7cb3a,2026-09-18T04:24:52.427Z,8971,,,
ChatGPT web,chatgpt-browser-check-016,1d934883-41a8-47b9-a897-c6efb8dcb1ed,2026-09-18T04:25:07.852Z,10436,,,
ChatGPT web,chatgpt-browser-check-017,32dfc69d-143f-41ad-abbb-47ad2d519f4c,2026-09-18T04:25:20.005Z,9345,,,
ChatGPT web,chatgpt-browser-check-018,ed429cfb-2870-4b88-9edd-e925a3ffa3da,2026-09-18T04:25:33.848Z,9175,,,
ChatGPT web,chatgpt-browser-check-019,6835a7ea-c3e0-4f89-a9c7-20e99fc30f6d,2026-09-18T04:25:45.531Z,8243,,,
ChatGPT web,chatgpt-browser-check-020,eae221cc-3e5f-4046-ab46-47bf04e34d50,2026-09-18T04:25:58.466Z,9181,,,
ChatGPT web,chatgpt-browser-check-021,1bfaa550-9207-4cc5-959b-9b14ce77e382,2026-09-18T04:26:10.418Z,8553,,,
ChatGPT web,chatgpt-browser-check-022,20fb4f49-9b90-4ff9-8148-c67423a484db,2026-09-18T04:26:22.310Z,8447,,,
Claude web,claude-browser-check-004,d48baa66-af5c-4c80-81d3-67dede7a4094,2026-09-18T04:27:24.908Z,14568,5475,11322,3246
Claude web,claude-browser-check-005,d3638c32-04ce-4c00-9bc6-34b977beaf17,2026-09-18T04:27:50.061Z,5913,2112,2605,3308
Claude web,claude-browser-check-007,0fccda29-6d5f-418b-aaae-6462d16dcb6f,2026-09-18T04:29:30.242Z,14002,2858,11030,2972
Claude web,claude-browser-check-009,10a4c34f-85b2-482f-a7b6-ce1448ae30b5,2026-09-18T04:31:48.200Z,5420,2481,3013,2407
Claude web,claude-browser-check-010,c4c41bef-54c8-4624-8fc4-ea585d26836b,2026-09-18T04:31:54.641Z,5119,2179,2730,2389
Claude web,claude-browser-check-011,4c475dcd-42a5-4413-8d92-0602bf80bb3d,2026-09-18T04:32:01.209Z,5647,2035,2501,3146
Claude web,claude-browser-check-012,6d20da9e-955e-4065-bc2a-3cb7e88d5929,2026-09-18T04:33:28.008Z,7886,2388,5014,2872
Claude web,claude-browser-check-013,fd47a246-8800-4478-9641-cfdead6ceef6,2026-09-18T04:33:36.654Z,7905,2557,5129,2776
Claude web,claude-browser-check-014,28e274d6-6ec3-4684-9d2a-d23ca2646513,2026-09-18T04:33:43.004Z,5600,2272,2663,2937
Claude web,claude-browser-check-015,dbd3fd21-27d5-4295-b5ab-da3e6ca8277e,2026-09-18T04:33:49.750Z,5190,2389,2753,2437
Claude web,claude-browser-check-016,3353ce8d-191f-4c42-816c-bfd2a4365baa,2026-09-18T04:33:58.442Z,7806,2288,4945,2861
Claude web,claude-browser-check-017,d7f8e766-a6b0-4815-b194-bdde0554e064,2026-09-18T04:34:07.315Z,7683,2417,5056,2627
Claude web,claude-browser-check-018,90d0ecb3-3b56-42e3-8820-e35cd4326c6c,2026-09-18T04:34:15.218Z,7182,2024,4498,2684
Claude web,claude-browser-check-019,026fbbe7-2258-4f97-b627-0b3d5d311f22,2026-09-18T04:34:24.389Z,8321,2852,5499,2822
Claude web,claude-browser-check-020,ddf16cd4-3de2-47ec-9ae1-4398e4ce660e,2026-09-18T04:34:31.060Z,6898,2857,3230,3668
Claude web,claude-browser-check-021,c2131d5a-f9e2-4633-bcce-e3e90c47802b,2026-09-18T04:36:11.577Z,32302,7594,29006,3296
Claude web,claude-browser-check-022,913a3fa1-7e24-4755-a826-1f565e331726,2026-09-18T04:36:52.648Z,10471,4510,7087,3384
Claude web,claude-browser-check-023,79c8d400-0968-433b-b5fb-0e0dd0601f16,2026-09-18T04:39:49.170Z,19992,13388,16736,3256
Claude web,claude-browser-check-024,d7f758f5-2254-4e1a-8ed3-eaca09061f03,2026-09-18T04:40:54.771Z,17996,11743,14915,3081
Claude web,claude-browser-check-025,fec9b833-6115-4faf-ba36-684624b63614,2026-09-18T04:42:04.461Z,18185,12138,15345,2840
